CountryCode,Name,District,Population
BRA,Paranaguá,Paraná,126076
BRA,Ibirité,"Minas Gerais",125982
BRA,Timon,Maranhão,125812
BRA,Luziânia,Goiás,125597
BRA,Macaé,"Rio de Janeiro",125597
BRA,"Teófilo Otoni","Minas Gerais",124489
BRA,Moji-Guaçu,"São Paulo",123782
BRA,Palmas,Tocantins,121919
BRA,Pindamonhangaba,"São Paulo",121904
BRA,"Francisco Morato","São Paulo",121197
BRA,Bagé,"Rio Grande do Sul",120793
BRA,"Sapucaia do Sul","Rio Grande do Sul",120217
BRA,"Cabo Frio","Rio de Janeiro",119503
BRA,Itapetininga,"São Paulo",119391
BRA,"Patos de Minas","Minas Gerais",119262
BRA,Camaragibe,Pernambuco,118968
BRA,"Bragança Paulista","São Paulo",116929
BRA,Queimados,"Rio de Janeiro",115020
BRA,Araguaína,Tocantins,114948
BRA,Garanhuns,Pernambuco,114603
BRA,"Vitória de Santo Antão",Pernambuco,113595
BRA,"Santa Rita",Paraíba,113135
BRA,Barbacena,"Minas Gerais",113079
BRA,Abaetetuba,Pará,111258
BRA,Jaú,"São Paulo",109965
BRA,"Lauro de Freitas",Bahia,109236
BRA,"Franco da Rocha","São Paulo",108964
BRA,"Teixeira de Freitas",Bahia,108441
BRA,Varginha,"Minas Gerais",108314
BRA,"Ribeirão Pires","São Paulo",108121
BRA,Sabará,"Minas Gerais",107781
BRA,Catanduva,"São Paulo",107761
BRA,"Rio Verde",Goiás,107755
BRA,Botucatu,"São Paulo",107663
BRA,Colatina,"Espírito Santo",107354
BRA,"Santa Cruz do Sul","Rio Grande do Sul",106734
BRA,Linhares,"Espírito Santo",106278
BRA,Apucarana,Paraná,105114
BRA,Barretos,"São Paulo",104156
BRA,Guaratinguetá,"São Paulo",103433
BRA,Cachoeirinha,"Rio Grande do Sul",103240
BRA,Codó,Maranhão,103153
BRA,"Jaraguá do Sul","Santa Catarina",102580
BRA,Cubatão,"São Paulo",102372
BRA,Itabira,"Minas Gerais",102217
BRA,Itaituba,Pará,101320
BRA,Araras,"São Paulo",101046
BRA,Resende,"Rio de Janeiro",100627
BRA,Atibaia,"São Paulo",100356
BRA,"Pouso Alegre","Minas Gerais",100028
BRA,Toledo,Paraná,99387
BRA,Crato,Ceará,98965
BRA,Passos,"Minas Gerais",98570
BRA,Araguari,"Minas Gerais",98399
BRA,"São José de Ribamar",Maranhão,98318
BRA,Pinhais,Paraná,98198
BRA,Sertãozinho,"São Paulo",98140
BRA,"Conselheiro Lafaiete","Minas Gerais",97507
BRA,"Paulo Afonso",Bahia,97291
BRA,"Angra dos Reis","Rio de Janeiro",96864
BRA,Eunápolis,Bahia,96610
BRA,Salto,"São Paulo",96348
